Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
ELIZA COFFEE MEMORIAL HOSPITAL,010006,AL,READM-30-COPD-HRRP,693,,0.9935,18.1048,18.2241,125,07/01/2013,06/30/2016
ELIZA COFFEE MEMORIAL HOSPITAL,010006,AL,READM-30-HF-HRRP,885,,1.0014,20.7812,20.7518,184,07/01/2013,06/30/2016
ELIZA COFFEE MEMORIAL HOSPITAL,010006,AL,READM-30-HIP-KNEE-HRRP,411,,1.1851,5.0638,4.2728,24,07/01/2013,06/30/2016
ELIZA COFFEE MEMORIAL HOSPITAL,010006,AL,READM-30-PN-HRRP,942,,1.0529,17.0988,16.2399,164,07/01/2013,06/30/2016
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-COPD-HRRP,137,,0.9982,16.8823,16.9134,23,07/01/2013,06/30/2016
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-HF-HRRP,98,,1.0145,19.5317,19.2522,20,07/01/2013,06/30/2016
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-HIP-KNEE-HRRP,Not Available,,1.1843,5.3097,4.4833,Too Few to Report,07/01/2013,06/30/2016
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-PN-HRRP,197,,1.0184,13.7089,13.4606,28,07/01/2013,06/30/2016
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-COPD-HRRP,Not Available,,0.9554,16.8684,17.6555,Too Few to Report,07/01/2013,06/30/2016
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-HF-HRRP,Not Available,,1.0237,18.5346,18.1060,Too Few to Report,07/01/2013,06/30/2016
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-HIP-KNEE-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-PN-HRRP,Not Available,,0.9493,12.7607,13.4419,Too Few to Report,07/01/2013,06/30/2016
ST VINCENT'S EAST,010011,AL,READM-30-AMI-HRRP,254,,0.9887,14.4564,14.6219,36,07/01/2013,06/30/2016
ST VINCENT'S EAST,010011,AL,READM-30-CABG-HRRP,112,,0.9761,13.1166,13.4372,14,07/01/2013,06/30/2016
ST VINCENT'S EAST,010011,AL,READM-30-COPD-HRRP,293,,0.9764,19.0245,19.4851,54,07/01/2013,06/30/2016
ST VINCENT'S EAST,010011,AL,READM-30-HF-HRRP,431,,0.9873,21.0624,21.3325,90,07/01/2013,06/30/2016
ST VINCENT'S EAST,010011,AL,READM-30-HIP-KNEE-HRRP,216,,1.1230,5.0062,4.4577,13,07/01/2013,06/30/2016
ST VINCENT'S EAST,010011,AL,READM-30-PN-HRRP,584,,1.0087,16.5251,16.3825,97,07/01/2013,06/30/2016
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-AMI-HRRP,127,,0.9406,13.2193,14.0541,13,07/01/2013,06/30/2016
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-COPD-HRRP,182,,1.0360,17.3104,16.7087,34,07/01/2013,06/30/2016
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-HF-HRRP,162,,1.1013,21.1194,19.1763,40,07/01/2013,06/30/2016
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-HIP-KNEE-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
DEKALB REGIONAL MEDICAL CENTER,010012,AL,READM-30-PN-HRRP,274,,1.0756,16.7420,15.5654,50,07/01/2013,06/30/2016
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-AMI-HRRP,215,,1.0438,14.1037,13.5123,33,07/01/2013,06/30/2016
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-CABG-HRRP,65,,1.0698,13.9277,13.0185,11,07/01/2013,06/30/2016
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-COPD-HRRP,262,,0.9516,17.3852,18.2691,42,07/01/2013,06/30/2016
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-HF-HRRP,448,,0.9958,21.4858,21.5758,96,07/01/2013,06/30/2016
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-HIP-KNEE-HRRP,Not Available,,1.0333,4.6320,4.4826,Too Few to Report,07/01/2013,06/30/2016
SHELBY BAPTIST MEDICAL CENTER,010016,AL,READM-30-PN-HRRP,434,,0.9046,14.6556,16.2020,58,07/01/2013,06/30/2016
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-AMI-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-COPD-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-HF-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-HIP-KNEE-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
CALLAHAN EYE HOSPITAL,010018,AL,READM-30-PN-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
HELEN KELLER MEMORIAL HOSPITAL,010019,AL,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
HELEN KELLER MEMORIAL HOSPITAL,010019,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
HELEN KELLER MEMORIAL HOSPITAL,010019,AL,READM-30-COPD-HRRP,452,,1.0658,18.6894,17.5363,89,07/01/2013,06/30/2016
HELEN KELLER MEMORIAL HOSPITAL,010019,AL,READM-30-HF-HRRP,397,,1.0388,21.0820,20.2954,86,07/01/2013,06/30/2016
HELEN KELLER MEMORIAL HOSPITAL,010019,AL,READM-30-HIP-KNEE-HRRP,409,,0.9145,3.5835,3.9187,13,07/01/2013,06/30/2016
HELEN KELLER MEMORIAL HOSPITAL,010019,AL,READM-30-PN-HRRP,442,,1.0686,16.5763,15.5121,77,07/01/2013,06/30/2016
DALE MEDICAL CENTER,010021,AL,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
DALE MEDICAL CENTER,010021,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
DALE MEDICAL CENTER,010021,AL,READM-30-COPD-HRRP,135,,0.9298,18.7305,20.1438,20,07/01/2013,06/30/2016
DALE MEDICAL CENTER,010021,AL,READM-30-HF-HRRP,91,,0.9858,20.7375,21.0367,18,07/01/2013,06/30/2016
DALE MEDICAL CENTER,010021,AL,READM-30-HIP-KNEE-HRRP,Not Available,,1.1043,5.4622,4.9464,Too Few to Report,07/01/2013,06/30/2016
DALE MEDICAL CENTER,010021,AL,READM-30-PN-HRRP,155,,0.9475,16.1690,17.0651,22,07/01/2013,06/30/2016
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-COPD-HRRP,Not Available,,0.9636,17.5345,18.1971,Too Few to Report,07/01/2013,06/30/2016
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-HF-HRRP,Not Available,,0.9795,21.6352,22.0873,Too Few to Report,07/01/2013,06/30/2016
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-HIP-KNEE-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
CHEROKEE MEDICAL CENTER,010022,AL,READM-30-PN-HRRP,Not Available,,0.9013,14.5691,16.1647,Too Few to Report,07/01/2013,06/30/2016
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-AMI-HRRP,398,,1.0079,15.9518,15.8268,64,07/01/2013,06/30/2016
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-CABG-HRRP,164,,1.2749,15.8504,12.4328,33,07/01/2013,06/30/2016
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-COPD-HRRP,249,,1.0340,20.6980,20.0167,54,07/01/2013,06/30/2016
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-HF-HRRP,575,,1.0147,22.7982,22.4676,132,07/01/2013,06/30/2016
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-HIP-KNEE-HRRP,583,,1.0818,4.7215,4.3646,29,07/01/2013,06/30/2016
BAPTIST MEDICAL CENTER SOUTH,010023,AL,READM-30-PN-HRRP,269,,1.0535,19.3056,18.3251,55,07/01/2013,06/30/2016
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-AMI-HRRP,285,,1.0399,17.3478,16.6825,52,07/01/2013,06/30/2016
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-CABG-HRRP,201,,1.0478,14.7432,14.0710,31,07/01/2013,06/30/2016
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-COPD-HRRP,377,,0.8875,16.8440,18.9783,55,07/01/2013,06/30/2016
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-HF-HRRP,582,,0.9274,19.8565,21.4113,111,07/01/2013,06/30/2016
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-HIP-KNEE-HRRP,374,,1.0918,4.3745,4.0067,18,07/01/2013,06/30/2016
JACKSON HOSPITAL & CLINIC INC,010024,AL,READM-30-PN-HRRP,609,,1.0848,18.2758,16.8468,116,07/01/2013,06/30/2016
EAST ALABAMA MEDICAL CENTER,010029,AL,READM-30-AMI-HRRP,248,,1.0033,14.4313,14.3832,36,07/01/2013,06/30/2016
EAST ALABAMA MEDICAL CENTER,010029,AL,READM-30-CABG-HRRP,Not Available,,0.7627,10.0428,13.1673,Too Few to Report,07/01/2013,06/30/2016
EAST ALABAMA MEDICAL CENTER,010029,AL,READM-30-COPD-HRRP,501,,0.9586,17.7673,18.5339,86,07/01/2013,06/30/2016
EAST ALABAMA MEDICAL CENTER,010029,AL,READM-30-HF-HRRP,816,,1.0375,20.8060,20.0530,172,07/01/2013,06/30/2016
EAST ALABAMA MEDICAL CENTER,010029,AL,READM-30-HIP-KNEE-HRRP,725,,1.2175,5.0079,4.1133,40,07/01/2013,06/30/2016
EAST ALABAMA MEDICAL CENTER,010029,AL,READM-30-PN-HRRP,655,,1.0430,16.2803,15.6093,109,07/01/2013,06/30/2016
WEDOWEE HOSPITAL,010032,AL,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
WEDOWEE HOSPITAL,010032,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
WEDOWEE HOSPITAL,010032,AL,READM-30-COPD-HRRP,Not Available,,0.9484,17.3464,18.2894,Too Few to Report,07/01/2013,06/30/2016
WEDOWEE HOSPITAL,010032,AL,READM-30-HF-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
WEDOWEE HOSPITAL,010032,AL,READM-30-HIP-KNEE-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
WEDOWEE HOSPITAL,010032,AL,READM-30-PN-HRRP,Not Available,,0.9483,15.0886,15.9110,Too Few to Report,07/01/2013,06/30/2016
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-AMI-HRRP,484,,1.0182,17.3173,17.0075,85,07/01/2013,06/30/2016
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-CABG-HRRP,242,,0.9317,13.2453,14.2155,30,07/01/2013,06/30/2016
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-COPD-HRRP,292,,1.0118,20.2526,20.0170,60,07/01/2013,06/30/2016
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-HF-HRRP,723,,1.0221,23.0477,22.5491,168,07/01/2013,06/30/2016
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-HIP-KNEE-HRRP,352,,1.3228,6.1482,4.6479,27,07/01/2013,06/30/2016
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,READM-30-PN-HRRP,740,,1.0643,18.7002,17.5696,142,07/01/2013,06/30/2016
COMMUNITY HOSPITAL INC,010034,AL,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
COMMUNITY HOSPITAL INC,010034,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
COMMUNITY HOSPITAL INC,010034,AL,READM-30-COPD-HRRP,92,,1.0014,18.3721,18.3468,17,07/01/2013,06/30/2016
COMMUNITY HOSPITAL INC,010034,AL,READM-30-HF-HRRP,103,,1.0034,21.1581,21.0860,22,07/01/2013,06/30/2016
COMMUNITY HOSPITAL INC,010034,AL,READM-30-HIP-KNEE-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
COMMUNITY HOSPITAL INC,010034,AL,READM-30-PN-HRRP,140,,0.9353,14.0567,15.0291,16,07/01/2013,06/30/2016
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-AMI-HRRP,102,,0.9960,14.9582,15.0186,15,07/01/2013,06/30/2016
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-COPD-HRRP,373,,0.9239,16.7864,18.1699,57,07/01/2013,06/30/2016
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-HF-HRRP,610,,1.0895,21.6062,19.8309,137,07/01/2013,06/30/2016
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-HIP-KNEE-HRRP,354,,1.1613,5.1368,4.4231,21,07/01/2013,06/30/2016
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,READM-30-PN-HRRP,629,,0.9568,15.0169,15.6952,92,07/01/2013,06/30/2016
ANDALUSIA REGIONAL HOSPITAL,010036,AL,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
ANDALUSIA REGIONAL HOSPITAL,010036,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
ANDALUSIA REGIONAL HOSPITAL,010036,AL,READM-30-COPD-HRRP,204,,1.0218,19.3332,18.9212,41,07/01/2013,06/30/2016
ANDALUSIA REGIONAL HOSPITAL,010036,AL,READM-30-HF-HRRP,181,,1.0507,22.6238,21.5312,44,07/01/2013,06/30/2016
ANDALUSIA REGIONAL HOSPITAL,010036,AL,READM-30-HIP-KNEE-HRRP,Not Available,,0.9080,4.4035,4.8495,Too Few to Report,07/01/2013,06/30/2016
ANDALUSIA REGIONAL HOSPITAL,010036,AL,READM-30-PN-HRRP,305,,1.0425,16.6112,15.9345,53,07/01/2013,06/30/2016
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,READM-30-AMI-HRRP,69,,0.9959,17.7893,17.8630,12,07/01/2013,06/30/2016
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,READM-30-COPD-HRRP,263,,1.0000,17.8713,17.8717,47,07/01/2013,06/30/2016
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,READM-30-HF-HRRP,154,,1.0431,22.3332,21.4112,37,07/01/2013,06/30/2016
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,READM-30-HIP-KNEE-HRRP,Not Available,,1.0816,5.0925,4.7084,Too Few to Report,07/01/2013,06/30/2016
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,READM-30-PN-HRRP,197,,1.0956,17.6681,16.1265,40,07/01/2013,06/30/2016
HUNTSVILLE HOSPITAL,010039,AL,READM-30-AMI-HRRP,1129,,0.9816,14.1870,14.4528,159,07/01/2013,06/30/2016
HUNTSVILLE HOSPITAL,010039,AL,READM-30-CABG-HRRP,597,,0.8535,11.3021,13.2416,63,07/01/2013,06/30/2016
HUNTSVILLE HOSPITAL,010039,AL,READM-30-COPD-HRRP,1220,,1.0188,19.3158,18.9591,237,07/01/2013,06/30/2016
HUNTSVILLE HOSPITAL,010039,AL,READM-30-HF-HRRP,1828,,0.9730,21.2077,21.7960,386,07/01/2013,06/30/2016
HUNTSVILLE HOSPITAL,010039,AL,READM-30-HIP-KNEE-HRRP,1861,,1.1321,4.6041,4.0671,88,07/01/2013,06/30/2016
HUNTSVILLE HOSPITAL,010039,AL,READM-30-PN-HRRP,1750,,1.0157,17.6059,17.3344,309,07/01/2013,06/30/2016
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-AMI-HRRP,184,,1.0315,14.6911,14.2424,29,07/01/2013,06/30/2016
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-CABG-HRRP,124,,1.0592,13.9912,13.2089,19,07/01/2013,06/30/2016
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-COPD-HRRP,474,,1.0058,19.3210,19.2103,92,07/01/2013,06/30/2016
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-HF-HRRP,547,,1.0132,22.8849,22.5867,126,07/01/2013,06/30/2016
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-HIP-KNEE-HRRP,390,,1.3282,5.8041,4.3699,28,07/01/2013,06/30/2016
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,READM-30-PN-HRRP,711,,1.1310,19.5226,17.2607,146,07/01/2013,06/30/2016
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-COPD-HRRP,Not Available,,0.9218,15.2724,16.5676,Too Few to Report,07/01/2013,06/30/2016
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-HF-HRRP,Not Available,,0.9555,18.2885,19.1396,Too Few to Report,07/01/2013,06/30/2016
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-HIP-KNEE-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
MARION REGIONAL MEDICAL CENTER,010044,AL,READM-30-PN-HRRP,147,,0.9300,13.5806,14.6034,16,07/01/2013,06/30/2016
FAYETTE MEDICAL CENTER,010045,AL,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
FAYETTE MEDICAL CENTER,010045,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
FAYETTE MEDICAL CENTER,010045,AL,READM-30-COPD-HRRP,165,,1.0863,22.2768,20.5062,43,07/01/2013,06/30/2016
FAYETTE MEDICAL CENTER,010045,AL,READM-30-HF-HRRP,107,,1.0007,22.3872,22.3706,24,07/01/2013,06/30/2016
FAYETTE MEDICAL CENTER,010045,AL,READM-30-HIP-KNEE-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
FAYETTE MEDICAL CENTER,010045,AL,READM-30-PN-HRRP,138,,1.1227,19.0352,16.9541,33,07/01/2013,06/30/2016
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-AMI-HRRP,95,,1.0178,15.6378,15.3641,16,07/01/2013,06/30/2016
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-CABG-HRRP,Not Available,,0.9605,14.3599,14.9501,Too Few to Report,07/01/2013,06/30/2016
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-COPD-HRRP,355,,1.0524,20.0829,19.0829,75,07/01/2013,06/30/2016
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-HF-HRRP,398,,1.1961,27.4764,22.9721,121,07/01/2013,06/30/2016
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-HIP-KNEE-HRRP,Not Available,,1.0075,4.3666,4.3339,Too Few to Report,07/01/2013,06/30/2016
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,READM-30-PN-HRRP,416,,0.9548,16.7415,17.5339,67,07/01/2013,06/30/2016
GEORGIANA MEDICAL CENTER,010047,AL,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
GEORGIANA MEDICAL CENTER,010047,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
GEORGIANA MEDICAL CENTER,010047,AL,READM-30-COPD-HRRP,Not Available,,0.9786,17.0347,17.4068,Too Few to Report,07/01/2013,06/30/2016
GEORGIANA MEDICAL CENTER,010047,AL,READM-30-HF-HRRP,Not Available,,1.0165,20.0689,19.7437,Too Few to Report,07/01/2013,06/30/2016
GEORGIANA MEDICAL CENTER,010047,AL,READM-30-HIP-KNEE-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
GEORGIANA MEDICAL CENTER,010047,AL,READM-30-PN-HRRP,120,,1.0327,15.1856,14.7043,20,07/01/2013,06/30/2016
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-COPD-HRRP,212,,1.0530,16.7033,15.8622,39,07/01/2013,06/30/2016
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-HF-HRRP,130,,1.0059,19.7317,19.6166,26,07/01/2013,06/30/2016
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-HIP-KNEE-HRRP,Not Available,,0.8768,3.8605,4.4031,Too Few to Report,07/01/2013,06/30/2016
MEDICAL CENTER ENTERPRISE,010049,AL,READM-30-PN-HRRP,177,,1.0044,13.9896,13.9284,25,07/01/2013,06/30/2016
GREENE COUNTY HOSPITAL,010051,AL,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
GREENE COUNTY HOSPITAL,010051,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
GREENE COUNTY HOSPITAL,010051,AL,READM-30-COPD-HRRP,54,,1.0185,17.9747,17.6481,11,07/01/2013,06/30/2016
GREENE COUNTY HOSPITAL,010051,AL,READM-30-HF-HRRP,Not Available,,0.9716,16.3059,16.7818,Too Few to Report,07/01/2013,06/30/2016
GREENE COUNTY HOSPITAL,010051,AL,READM-30-HIP-KNEE-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
GREENE COUNTY HOSPITAL,010051,AL,READM-30-PN-HRRP,Not Available,,0.9714,16.6347,17.1239,Too Few to Report,07/01/2013,06/30/2016
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-AMI-HRRP,Not Available,1,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-CABG-HRRP,Not Available,5,Not Available,Not Available,Not Available,Not Available,07/01/2013,06/30/2016
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,READM-30-COPD-HRRP,69,,0.9751,20.1156,20.6290,12,07/01/2013,06/30/2016
